country departure,country arrival,number of routes
Serbia,Montenegro,5
Serbia,Netherlands,3
Serbia,Norway,1
Serbia,Poland,2
Serbia,Romania,2
Serbia,Russia,2
Serbia,Slovenia,3
Serbia,Spain,1
Serbia,Sweden,6
Serbia,Switzerland,6
Serbia,Tunisia,1
Serbia,Turkey,4
Serbia,United Arab Emirates,1
Serbia,United Kingdom,3
Seychelles,Germany,1
Seychelles,Kenya,1
Seychelles,Mauritius,1
Seychelles,Qatar,1
Seychelles,Reunion,1
Seychelles,Russia,1
Seychelles,Seychelles,2
Seychelles,South Africa,1
Seychelles,United Arab Emirates,2
Sierra Leone,Gambia,6
Sierra Leone,Ghana,1
Sierra Leone,Guinea,1
Sierra Leone,Guinea-Bissau,1
Sierra Leone,Liberia,2
Sierra Leone,Morocco,1
Sierra Leone,Nigeria,1
Sierra Leone,United Kingdom,1
Singapore,Australia,31
Singapore,Bangladesh,2
Singapore,Brunei,2
Singapore,Myanmar,4
Singapore,Cambodia,6
Singapore,China,38
Singapore,Denmark,2
Singapore,East Timor,1
Singapore,Finland,1
Singapore,France,3
Singapore,Germany,9
Singapore,Hong Kong,10
Singapore,India,32
Singapore,Indonesia,54
Singapore,Italy,3
Singapore,Japan,17
Singapore,Laos,1
Singapore,Macau,3
Singapore,Malaysia,35
Singapore,Maldives,1
Singapore,Mauritius,2
Singapore,Nepal,2
Singapore,Netherlands,3
Singapore,New Zealand,3
Singapore,Papua New Guinea,1
Singapore,Philippines,14
Singapore,Qatar,1
Singapore,Russia,2
Singapore,Saudi Arabia,1
Singapore,South Africa,2
Singapore,South Korea,6
Singapore,Spain,2
Singapore,Sri Lanka,4
Singapore,Switzerland,2
Singapore,Taiwan,8
Singapore,Thailand,24
Singapore,Turkey,2
Singapore,United Arab Emirates,7
Singapore,United Kingdom,5
Singapore,United States of America,4
Singapore,Vietnam,12
Slovakia,Austria,1
Slovakia,Belgium,1
Slovakia,Czech Republic,3
Slovakia,France,1
Slovakia,Ireland,1
Slovakia,Italy,2
Slovakia,Poland,2
Slovakia,Slovakia,2
Slovakia,Spain,1
Slovakia,United Kingdom,6
Slovenia,Albania,1
Slovenia,Austria,2
Slovenia,Belgium,2
Slovenia,Bosnia and Herzegovina,1
Slovenia,Czech Republic,1
Slovenia,Denmark,2
Slovenia,France,3
Slovenia,Germany,4
Slovenia,Macedonia,1
Slovenia,Montenegro,2
Slovenia,Netherlands,1
Slovenia,Russia,2
Slovenia,Serbia,3
Slovenia,Switzerland,2
Slovenia,Turkey,2
Slovenia,United Kingdom,1
Solomon Islands,Australia,2
Solomon Islands,Fiji,2
Solomon Islands,Papua New Guinea,1
Solomon Islands,Solomon Islands,54
Solomon Islands,Vanuatu,3
Somalia,Djibouti,2
Somalia,Kenya,2
Somalia,Somalia,15
Somalia,Yemen,1
South Africa,Angola,3
South Africa,Argentina,2
South Africa,Australia,4
South Africa,Botswana,5
South Africa,Brazil,1
South Africa,Congo,3
South Africa,Egypt,2
South Africa,Ethiopia,3
South Africa,France,3
South Africa,Gabon,1
South Africa,Germany,6
South Africa,Ghana,1
South Africa,Hong Kong,2
South Africa,India,3
South Africa,Israel,1
South Africa,Kenya,2
South Africa,Lesotho,1
South Africa,Madagascar,3
South Africa,Malawi,2
South Africa,Malaysia,3
South Africa,Mauritius,7
South Africa,Mozambique,16
South Africa,Namibia,8
South Africa,Netherlands,3
South Africa,Nigeria,2
South Africa,Qatar,1
South Africa,Reunion,2
South Africa,Rwanda,1
South Africa,Saudi Arabia,1
South Africa,Senegal,2
South Africa,Seychelles,1
South Africa,Singapore,2
South Africa,South Africa,142
South Africa,Spain,1
South Africa,Swaziland,1
South Africa,Switzerland,3
South Africa,Tanzania,3
South Africa,Thailand,2
South Africa,Turkey,1
South Africa,Uganda,1
South Africa,United Arab Emirates,9
South Africa,United Kingdom,8
South Africa,United States of America,3
South Africa,Zambia,6
South Africa,Zimbabwe,6
South Korea,Australia,6
South Korea,Austria,1
South Korea,Cambodia,5
South Korea,Canada,4
South Korea,China,121
South Korea,Czech Republic,2
South Korea,Fiji,1
South Korea,Finland,1
South Korea,France,3
South Korea,Germany,3
South Korea,Guam,3
South Korea,Hong Kong,11
South Korea,India,2
South Korea,Indonesia,4
South Korea,Israel,1
South Korea,Italy,2
South Korea,Japan,103
South Korea,Kazakhstan,2
South Korea,Macau,4
South Korea,Malaysia,6
South Korea,Mongolia,2
South Korea,Nepal,1
South Korea,Netherlands,1
South Korea,New Caledonia,2
South Korea,New Zealand,1
South Korea,Northern Mariana Islands,3
South Korea,Palau,2
South Korea,Philippines,25
South Korea,Qatar,2
South Korea,Russia,10
South Korea,Singapore,6
South Korea,South Korea,92
South Korea,Spain,1
South Korea,Taiwan,11
South Korea,Thailand,21
South Korea,Turkey,3
South Korea,United Arab Emirates,4
South Korea,United Kingdom,2
South Korea,United States of America,40
South Korea,Uzbekistan,3
South Korea,Vietnam,13
South Sudan,Egypt,1
South Sudan,Ethiopia,2
South Sudan,Kenya,5
South Sudan,Sudan,5
South Sudan,Uganda,1
Spain,Algeria,10
Spain,Angola,2
Spain,Argentina,5
Spain,Austria,24
Spain,Belgium,26
Spain,Bolivia,1
Spain,Brazil,9
Spain,Bulgaria,7
Spain,Cape Verde,4
Spain,Chile,2
Spain,China,1
Spain,Colombia,5
Spain,Costa Rica,1
Spain,Cuba,4
Spain,Cyprus,1
Spain,Czech Republic,9
Spain,Denmark,22
Spain,Dominican Republic,7
Spain,Ecuador,4
Spain,Egypt,5
Spain,Equatorial Guinea,2
Spain,Estonia,1
Spain,Finland,14
Spain,France,83
Spain,Gambia,1
Spain,Germany,236
Spain,Greece,7
Spain,Guatemala,1
Spain,Hungary,5
Spain,Ireland,34
Spain,Israel,5
Spain,Italy,103
Spain,Jordan,4
Spain,Latvia,1
Spain,Lithuania,2
Spain,Luxembourg,6
Spain,Mali,1
Spain,Malta,2
Spain,Mexico,10
Spain,Moldova,1
Spain,Morocco,27
Spain,Netherlands,38
Spain,Nigeria,1
Spain,Norway,20
Spain,Pakistan,2
Spain,Panama,1
Spain,Peru,3
Spain,Poland,13
Spain,Portugal,43
Spain,Puerto Rico,3
Spain,Qatar,2
Spain,Romania,18
Spain,Russia,17
Spain,Senegal,3
Spain,Serbia,1
Spain,Singapore,2
Spain,Slovakia,1
Spain,South Africa,1
Spain,Spain,631
Spain,Sweden,17
Spain,Switzerland,38
